date,manufacturer,carrier,fatalities,location
4/11/1952,Douglas,,52,"San Juan, Puerto Rico, US"
8/1/1948,Latécoère,,52,
10/24/1947,Douglas,,52,"Bryce Canyon, Utah, US"
3/12/2018,Bombardier,,51,"Kathmandu, Nepal"
10/4/2007,Antonov,,51,"Kinshasa, DR Congo"
1/11/1995,Douglas,,51,"María La Baja, Colombia"
11/7/1991,Yakovlev,,51,"Untsukulsky District, Dagestan ASSR, Russian SFSR, USSR"
2/22/1985,Antonov,,51,"Timbuktu, Mali"
2/7/1981,Tupolev,,51,"Pushkinsky District, Leningrad, Russian SFSR, USSR"
12/16/1973,Tupolev,,51,"Volokolamsky District, Russian SFSR, USSR"
12/12/1968,Boeing,,51,"Maiquetía, Venezuela"
1/16/1959,Curtiss,,51,"Mar del Plata, Argentina"
7/28/1950,Lockheed,,51,"São Leopoldo, Brazil"
11/17/2013,Boeing,,50,"Kazan, Russia"
2/12/2009,Bombardier,,50,"Clarence Center, New York, US"
3/18/1997,Antonov,,50,"Cherkessk, Russia"
6/26/1987,Hawker,,50,"Benguet, Philippines"
1/3/1987,Boeing,,50,"Bingerville, Côte d'Ivoire"
1/10/1984,Tupolev,,50,"Sofia, Bulgaria"
9/13/1982,McDonnell,,50,"Málaga, Spain"
8/26/1981,Vickers,,50,"Garzón, Colombia"
7/20/1981,Fokker,,50,"Bal'ad District, Somalia"
11/23/1976,NAMC,,50,"Servia, Greece"
6/6/1971,McDonnell,,50,"San Gabriel Mts., near Duarte, California, US"
1/5/1969,Boeing,,50,"Fernhill, England, UK"
11/13/1966,NAMC,,50,"Seto Inland Sea, off Matsuyama, Shikoku, Japan"
3/31/1965,Convair,,50,"Tangier, Morocco"
11/23/1964,Boeing,,50,"Fiumicino, Italy"
12/14/1962,Lockheed,,50,"Manaus, Brazil"
1/18/1960,Vickers,,50,"Holdcroft, Virginia, US"
2/18/1956,Avro,,50,"Żurrieq, Malta"
4/29/1952,Boeing,,50,"Santana do Araguaia, Brazil"
8/24/1951,Douglas,,50,"Union City, California, US"
6/30/1951,Douglas,,50,"Fort Collins, Colorado, US"
6/13/1947,Douglas,,50,"Shannondale, West Virginia, US"
